system:index,FID,mean,.geo
000000000000000000a5,101.0,-0.02051885984838009,"{""type"":""Point"",""coordinates"":[30.292720544350285,-29.27578448198274]}"
000000000000000000a6,104.0,0.01295798271894455,"{""type"":""Point"",""coordinates"":[30.248399044311423,-29.25400015602998]}"
000000000000000000a7,106.0,-0.02977396734058857,"{""type"":""Point"",""coordinates"":[30.29543052743278,-29.24443829441703]}"
000000000000000000a8,108.0,-0.06202336400747299,"{""type"":""Point"",""coordinates"":[29.961577945338046,-29.67463583829962]}"
000000000000000000a9,110.0,0.07692869752645493,"{""type"":""Point"",""coordinates"":[30.35526982468349,-29.242935993588887]}"
000000000000000000aa,111.0,0.2360343486070633,"{""type"":""Point"",""coordinates"":[30.504620566580584,-29.233659586201664]}"
000000000000000000ab,115.0,0.05066854506731033,"{""type"":""Point"",""coordinates"":[29.973449644166585,-29.708339631519035]}"
000000000000000000ac,119.0,-0.028280330821871758,"{""type"":""Point"",""coordinates"":[30.09312758865278,-29.566032238945382]}"
000000000000000000ad,120.0,0.09970566630363464,"{""type"":""Point"",""coordinates"":[30.49891765164718,-29.27164236040182]}"
000000000000000000ae,122.0,0.07806477695703506,"{""type"":""Point"",""coordinates"":[29.950238875085894,-29.642702822600043]}"
000000000000000000af,123.0,0.04569016769528389,"{""type"":""Point"",""coordinates"":[30.34943150356475,-29.23789488352329]}"
000000000000000000b0,124.0,0.06111859902739525,"{""type"":""Point"",""coordinates"":[30.073590780816666,-29.5678010502262]}"
000000000000000000b1,125.0,-0.03476683422923088,"{""type"":""Point"",""coordinates"":[30.32538809587848,-29.24370246496622]}"
000000000000000000b2,127.0,0.004287535324692726,"{""type"":""Point"",""coordinates"":[30.30999496439954,-29.251708369614192]}"
000000000000000000b3,129.0,-0.09592751413583755,"{""type"":""Point"",""coordinates"":[30.05512567084948,-29.585725524807668]}"
000000000000000000b4,131.0,-0.03746487572789192,"{""type"":""Point"",""coordinates"":[30.328424163928197,-29.230800453658116]}"
000000000000000000b5,135.0,-0.034401386976242065,"{""type"":""Point"",""coordinates"":[29.996924911570055,-29.698734745515335]}"
